Data_cp(T)_Fuente_(Castellan_1983)_T_300K_1500K
Compuesto,a1,a2,a3,a4
H2,3.4958,-1.006E-04,2.419,0
O2,3.0673,1.6371E-03,-5.118,0
Cl2,3.8122,1.2200E-03,-4.856,0
